"CODI","NOM","ADREÇA","X_ETRS89","Y_ETRS89","LATITUD","LONGITUD"
"07-046","07-046. Mas Ravetllat - Bassa 3","Mas Ravetllat","430710.340717760","4585182.055174200","41.415204866","2.170897832"
"07-047","07-047. Mas Ravetllat - Bassa 4","Mas Ravetllat","430725.840743845","4585182.335057340","41.415208723","2.171083251"
"07-048","Font Octogonal","Mas Ravetllat","430703.591385666","4585271.485365150","41.416009750","2.170806835"
"07-049","Font de la Bancada","Mas Ravetllat","430689.741236868","4585254.645442900","41.415856884","2.170643052"
"07-050","Font del Templet","Mas Ravetllat","430646.711440605","4585290.365825820","41.416174892","2.170124120"
"08-002","Homenatge a la Mediterrània - Plaça Sóller","Plaça de Sóller","431184.747098880","4587248.974884550","41.433861633","2.176338661"
"08-004","Llac del Parc de la Guineueta","Rambla del Caçador, 48 - Parc de la Guineueta","430930.361958839","4587942.597913150","41.440086990","2.173214906"
"08-006","Font circular de la Plaça de Karl Marx","Plaça de Karl Marx - Via Favència","430060.511385538","4588044.894670820","41.440933036","2.162791742"
"08-007","Font de la Plaça Roja","Plaça Roja de la Ciutat Meridiana - Av dels Rasos de Peguera","431444.090940864","4590341.087807530","41.461733269","2.179091494"
"08-008","Llac del Parc Tecnològic BCNord - Fòrum N","Marie Curie, 8","430545.488268209","4587534.200178661","41.436375514","2.168655255"
"08-009","Triangular 1 del Fòrum Nord - Costat Mar","Doctor Pi i Molist - Pg del Verdum","430824.188037656","4587446.687929070","41.435611382","2.172000870"
"08-010","Triangular 2 del Fòrum Nord - Costat Besòs","Doctor Pi i Molist s/n","430796.988758043","4587547.368295170","41.436515827","2.171663812"
"08-011","Triangular 3 del Fòrum Nord - Costat Llobr","Albert Einstein, s/n","430672.158345716","4587518.489194480","41.436244957","2.170173098"
"08-012","Font de la Plaça del Virrei Amat","Plaça del Virrei Amat (Pg de Fabra i Puig - Av de Borbó)","431055.573377425","4586783.975121700","41.429662475","2.174845752"
"08-013","Font de la Harry Walker","Plaça de Harry Walker (Pg de Valldaura - Av de Rio de Janeiro)","431597.042531908","4587881.832768160","41.439596773","2.181201373"
"08-014","Font de la Plaça Verda de la Prosperitat","Av Rio de Janeiro, 109","431801.694649898","4588119.481595070","41.441754597","2.183624040"
"08-015","Homenatge a Manuel de Falla","Parc de Josep M. Serra Martí","430289.702628876","4588162.343114210","41.442010778","2.165521436"
"08-016","Estanys de la Plaça Francesc Layret","Plaça Francesc Layret","431287.334400710","4588191.795604930","41.442362046","2.177459211"
"08-017","La Flama","Costa i Cuxart - Cartellà","430932.541455351","4586555.265688060","41.427592005","2.173399534"
"08-018","Font del carrer de Juan Ramón Jiménez","Juan Ramón Jiménez (Canyelles)","430057.492593497","4588204.964947920","41.442374459","2.162737078"
"08-019","La Font Mutant","Plaça Àngel Pestaña","431469.923666210","4588057.514009330","41.441168229","2.179659955"
"08-020","Font Sidney del Parc Central de Nou Barris","Pg de Fabra i Puig, 425 - Amb passeig Urrutia, costat muntanya","430149.078273069","4587615.923315190","41.437077177","2.163901411"
"08-021","Font Triangular del P Cent. de Nou Barris","Pg de Fabra i Puig, 426 - Amb passeig Urrutia, costat mar","430248.098019362","4587562.242476520","41.436602303","2.165092729"
"08-022","Font de la Plaça de César Vallejo","Pg Urrutia, 93","430506.387400388","4587427.620305120","41.435412209","2.168199535"
"08-023","Làmina de Via Favència - Plaça Karl Marx","Via Favència - Plaça de Karl Marx (sobre el Túnel d'Almansa)","430133.091236429","4588010.424064030","41.440628893","2.163664454"
"08-024","Font de pared de Can Verdaguer","Carrer de Piferrer, 94","431412.047781905","4587292.683233210","41.434274742","2.179054032"
"08-025","Font circular de Can Verdaguer","Carrer de Piferrer, 94","431408.107817847","4587298.233271860","41.434324393","2.179006249"
"09-001","Llac del Parc de la Pegaso","Parc Pegaso","432230.543036915","4586499.185774630","41.427197469","2.188938815"
"09-004","Llac del Parc de la Trinitat","Parc de la Trinitat - Al costat del Metro de Trinitat Vella","432780.251749915","4588856.095348090","41.448471544","2.195254883"
"09-006","Font de la Plaça de Masadas","Plaça de Masadas","432329.281141389","4586228.784596390","41.424770379","2.190150658"
