"CODI","NOM","ADREÇA","X_ETRS89","Y_ETRS89","LATITUD","LONGITUD"
"03-041","03-041. Cascada I - Eix Mª Cristina","Cascada I - Eix Mª Cristina","429043.451388959","4580347.010470680","41.371511950","2.151520832"
"03-042","03-042. Cascada II - Eix Mª Cristina","Cascada II - Eix Mª Cristina","429084.900807588","4580262.030024620","41.370750213","2.152026361"
"03-043","03-043. Cascada III - Eix Mª Cristina","Cascada III - Eix Mª Cristina","429139.290087157","4580156.109447870","41.369801011","2.152689036"
"03-044","03-044. Cascada IV - Eix Mª Cristina","Cascada IV - Eix Mª Cristina","429166.489688314","4580098.059151600","41.369280565","2.153021021"
"03-045","03-045. Llac 1 - Llobregat - Eix Mª Cristina","Llac 1 - Llobregat - Eix Mª Cristina","429005.571596482","4580382.020812590","41.371823936","2.151063824"
"03-046","03-046. Llac 2 - Llobregat - Eix Mª Cristina","Llac 2 - Llobregat - Eix Mª Cristina","429001.811638525","4580388.320850880","41.371880347","2.151018130"
"03-047","03-047. Llac 3 - Llobregat - Eix Mª Cristina","Llac 3 - Llobregat - Eix Mª Cristina","428998.391685646","4580395.220887510","41.371942191","2.150976432"
"03-048","03-048. Llac 4 - Llobregat - Eix Mª Cristina","Llac 4 - Llobregat - Eix Mª Cristina","428989.811810613","4580413.420980780","41.372105357","2.150871714"
"03-049","03-049. Llac 5 - Llobregat - Eix Mª Cristina","Llac 5 - Llobregat - Eix Mª Cristina","428986.061866564","4580421.551021810","41.372178250","2.150825925"
"03-050","03-050. Llac 6 - Llobregat - Eix Mª Cristina","Llac 6 - Llobregat - Eix Mª Cristina","428982.611914094","4580428.511058760","41.372240633","2.150783860"
"03-051","03-051. Llac 7 - Llobregat - Eix Mª Cristina","Llac 7 - Llobregat - Eix Mª Cristina","428974.962013922","4580443.211139570","41.372372356","2.150690671"
"03-052","03-052. Llac 8 - Llobregat - Eix Mª Cristina","Llac 8 - Llobregat - Eix Mª Cristina","428971.552059009","4580449.841175710","41.372431770","2.150649123"
"03-053","03-053. Llac 9 - Llobregat - Eix Mª Cristina","Llac 9 - Llobregat - Eix Mª Cristina","428969.072105070","4580456.411204680","41.372490725","2.150618701"
"03-054","03-054. Llac 10 - Llobregat - Eix Mª Cristina","Llac 10 - Llobregat - Eix Mª Cristina","428964.312158405","4580464.401253180","41.372562269","2.150560852"
"03-055","03-055. Llac 11 - Llobregat - Eix Mª Cristina","Llac 11 - Llobregat - Eix Mª Cristina","428961.012214745","4580472.491290730","41.372634842","2.150520448"
"03-056","03-056. Llac 12 - Llobregat - Eix Mª Cristina","Llac 12 - Llobregat - Eix Mª Cristina","428943.382451281","4580507.221478250","41.372946088","2.150305584"
"03-057","03-057. Llac 13 - Llobregat - Eix Mª Cristina","Llac 13 - Llobregat - Eix Mª Cristina","428940.292510449","4580515.641514710","41.373021652","2.150267652"
"03-058","03-058. Llac 14 - Llobregat - Eix Mª Cristina","Llac 14 - Llobregat - Eix Mª Cristina","428935.572568931","4580524.301563930","41.373099233","2.150210201"
"03-059","03-059. Llac 15 - Llobregat - Eix Mª Cristina","Llac 15 - Llobregat - Eix Mª Cristina","428931.512621597","4580532.061606750","41.373168767","2.150160748"
"03-060","03-060. Llac 16 - Llobregat - Eix Mª Cristina","Llac 16 - Llobregat - Eix Mª Cristina","428929.032667811","4580538.651635750","41.373227902","2.150130323"
"03-061","03-061. Llac 17 - Llobregat - Eix Mª Cristina","Llac 17 - Llobregat - Eix Mª Cristina","428921.702716433","4580546.541703630","41.373298318","2.150041755"
"03-062","03-062. Llac 18 - Llobregat - Eix Mª Cristina","Llac 18 - Llobregat - Eix Mª Cristina","428917.332769456","4580554.411748970","41.373368815","2.149988582"
"03-063","03-063. Llac 19 - Llobregat - Eix Mª Cristina","Llac 19 - Llobregat - Eix Mª Cristina","428913.272828575","4580563.021793100","41.373446004","2.149939028"
"03-064","03-064. Llac 20 - Llobregat - Eix Mª Cristina","Llac 20 - Llobregat - Eix Mª Cristina","428908.562889730","4580572.031842780","41.373526738","2.149881656"
"03-065","03-065. Llac 21 - Llobregat - Eix Mª Cristina","Llac 21 - Llobregat - Eix Mª Cristina","428904.672943188","4580579.861884420","41.373596917","2.149834226"
"03-066","03-066. Llac 22 - Llobregat - Eix Mª Cristina","Llac 22 - Llobregat - Eix Mª Cristina","428900.592999163","4580588.061928060","41.373670412","2.149784481"
"03-067","03-067. Llac 1 - Besòs - Eix Mª Cristina","Llac 1 - Besòs - Eix Mª Cristina","429037.391757614","4580396.800593480","41.371959859","2.151442553"
"03-068","03-068. Llac 2 - Besòs - Eix Mª Cristina","Llac 2 - Besòs - Eix Mª Cristina","429033.801809181","4580404.320632360","41.372027273","2.151398749"
"03-069","03-069. Llac 3 - Besòs - Eix Mª Cristina","Llac 3 - Besòs - Eix Mª Cristina","429029.321866363","4580412.760679420","41.372102895","2.151344197"
"03-070","03-070. Llac 4 - Besòs - Eix Mª Cristina","Llac 4 - Besòs - Eix Mª Cristina","429021.781987771","4580430.280763730","41.372260027","2.151251994"
"03-071","03-071. Llac 5 - Besòs - Eix Mª Cristina","Llac 5 - Besòs - Eix Mª Cristina","429016.932045524","4580438.870813830","41.372336967","2.151193000"
"03-072","03-072. Llac 6 - Besòs - Eix Mª Cristina","Llac 6 - Besòs - Eix Mª Cristina","429012.772100390","4580446.940857890","41.372409284","2.151142316"
"03-073","03-073. Llac 7 - Besòs - Eix Mª Cristina","Llac 7 - Besòs - Eix Mª Cristina","429008.752157217","4580455.240901240","41.372483686","2.151093279"
"03-074","03-074. Llac 8 - Besòs - Eix Mª Cristina","Llac 8 - Besòs - Eix Mª Cristina","429004.652215820","4580463.790945580","41.372560331","2.151043256"
"03-075","03-075. Llac 9 - Besòs - Eix Mª Cristina","Llac 9 - Besòs - Eix Mª Cristina","429000.492267953","4580471.500989070","41.372629406","2.150992614"
"03-076","03-076. Llac 10 - Besòs - Eix Mª Cristina","Llac 10 - Besòs - Eix Mª Cristina","428996.422330246","4580480.531033930","41.372710378","2.150942894"
"03-077","03-077. Llac 11 - Besòs - Eix Mª Cristina","Llac 11 - Besòs - Eix Mª Cristina","428992.022383376","4580488.421079530","41.372781052","2.150889361"
"03-078","03-078. Llac 12 - Besòs - Eix Mª Cristina","Llac 12 - Besòs - Eix Mª Cristina","428975.492607262","4580521.261255770","41.373075374","2.150687872"
"03-079","03-079. Llac 13 - Besòs - Eix Mª Cristina","Llac 13 - Besòs - Eix Mª Cristina","428971.912664311","4580529.501295680","41.373149273","2.150644102"
"03-080","03-080. Llac 14 - Besòs - Eix Mª Cristina","Llac 14 - Besòs - Eix Mª Cristina","428967.542721739","4580537.951341920","41.373224994","2.150590861"
"03-081","03-081. Llac 15 - Besòs - Eix Mª Cristina","Llac 15 - Besòs - Eix Mª Cristina","428963.182781233","4580546.671388490","41.373303148","2.150537709"
"03-082","03-082. Llac 16 - Besòs - Eix Mª Cristina","Llac 16 - Besòs - Eix Mª Cristina","428959.442834012","4580554.381428800","41.373372260","2.150492087"
"03-083","03-083. Llac 17 - Besòs - Eix Mª Cristina","Llac 17 - Besòs - Eix Mª Cristina","428954.952892091","4580562.941476120","41.373448961","2.150437399"
"03-084","03-084. Llac 18 - Besòs - Eix Mª Cristina","Llac 18 - Besòs - Eix Mª Cristina","428950.412959659","4580572.761525750","41.373537006","2.150381965"
"03-085","03-085. Llac 19 - Besòs - Eix Mª Cristina","Llac 19 - Besòs - Eix Mª Cristina","428946.773005608","4580579.551563880","41.373597840","2.150337647"
"03-086","03-086. Llac 20 - Besòs - Eix Mª Cristina","Llac 20 - Besòs - Eix Mª Cristina","428942.713063210","4580587.961607700","41.373673228","2.150288117"
"03-087","03-087. Llac 21 - Besòs - Eix Mª Cristina","Llac 21 - Besòs - Eix Mª Cristina","428938.363120972","4580596.451653840","41.373749311","2.150235110"
"03-088","03-088. Llac 22 - Besòs - Eix Mª Cristina","Llac 22 - Besòs - Eix Mª Cristina","428934.553178124","4580604.751695590","41.373823730","2.150188582"
"03-089","03-089. Passeig de les Cascades Llobregat","Passeig de les Cascades Llobregat","429014.159120933","4580054.150241670","41.368871672","2.151204887"
"03-090","03-090. Llançament - Jocs Olímpics de 1992","Llançament - Commemoració dels Jocs Olímpics de 1992","429014.337647520","4579859.979940530","41.367122860","2.151229751"
"03-091","03-091. Font de la Plaça de l'Armada","Font de la Plaça de l'Armada","430751.292983900","4580210.627291160","41.370432339","2.171956245"
"03-092","03-092. Font del Carrer del Foc - Besòs","Font del Carrer del Foc - Besòs","427624.644318513","4578384.178211050","41.353707092","2.134791167"
"03-093","03-093. Font del Carrer del Foc - Llobregat","Font del Carrer del Foc - Llobregat","427587.074121525","4578365.808467860","41.353538265","2.134344277"
"03-094","03-094. Passeig de les Cascades - Besòs","Passeig de les Cascades - Besòs","429310.100691218","4580201.108218950","41.370221320","2.154726030"
"03-095","03-095. Llac dels Jardins dels Drets Humans","Llac dels Jardins dels Drets Humans","427837.030684534","4579180.747836120","41.360900578","2.137235113"
"03-096","03-096. Estany Circular de la Plaça Europa","Estany Circular de la Plaça Europa - Anella Olímpica","428828.515454641","4579608.630964260","41.364842635","2.149037622"
"03-097","03-097. Estany Lineal Inferior - Anella Olímpica","Estany Lineal Inferior - Anella Olímpica","428958.455624804","4579604.749970760","41.364819158","2.150591543"
"03-098","03-098. Estany Lineal Superior - Anella Olímpica","Estany Lineal Superior - Anella Olímpica","429128.405849363","4579599.948671810","41.364790893","2.152623901"
"03-099","03-099. Cascada I - Anella Olímpica","Cascada I - Anella Olímpica","429216.536047120","4579608.178014800","41.364872766","2.153676559"
"03-100","03-100. Cascada II - Anella Olímpica","Cascada II - Anella Olímpica","429043.865647158","4579590.409299520","41.364697528","2.151614318"
"03-101","03-101. Cascada III - Anella Olímpica","Cascada III - Anella Olímpica","428885.185817072","4579644.920589710","41.365174492","2.149710874"
"03-102","03-102. Estany de les Cascades del Palauet Albéniz","Estany de les Cascades del Palauet Albéniz - Jardins de Joan Maragall","429386.698261449","4579865.517119130","41.367205482","2.155680930"
"03-103","03-103. Dones a la Cascada - Palauet Albéniz","Dones a la Cascada - Palauet Albéniz - Jardins de Joan Maragall","429340.127784563","4579812.107390610","41.366720351","2.155130371"
"03-104","03-104. Estany Magnoliers - Palauet Albéniz","Estany Magnoliers - Palauet Albéniz - Jardins de Joan Maragall","429285.598029029","4579855.347871780","41.367105016","2.154473392"
"03-105","03-105. Nu a l'Estany - Palauet Albéniz","Nu a l'Estany - Palauet Albéniz - Jardins de Joan Maragall","429399.347866596","4579810.936938750","41.366715005","2.155838519"
"03-106","03-106. Font del Teatre - Palauet Albéniz","Font del Teatre - Palauet Albéniz - Jardins de Joan Maragall","429329.958519462","4579910.987620530","41.367610041","2.154997268"
"03-107","03-107. Tritó Llobregat - Palauet Albéniz","Tritó Llobregat - Palauet Albéniz - Jardins de Joan Maragall","429451.198539754","4579889.136665390","41.367423871","2.156449328"
"03-108","03-108. Tritó Besòs - Palauet Albéniz","Tritó Besòs - Palauet Albéniz - Jardins de Joan Maragall","429401.378776607","4579930.417107720","41.367791303","2.155848890"
"03-109","03-109. Llac del Parc del Mirador del Poble Sec","Llac del Parc del Mirador del Poble Sec","430727.244176561","4580372.597722780","41.371889091","2.171650203"
"03-110","03-110. Canal del Temple - Jardins del Teatre Grec","Canal del Temple - Jardins del Teatre Grec","429671.210953431","4580162.595414940","41.369906081","2.159048023"
"03-111","03-111. Estany dels Jardins d'Aclimatació","Estany dels Jardins d'Aclimatació","429131.446709140","4579712.628822860","41.365806035","2.152647088"
"03-112","03-112. Estany del Parc de la Font Florida","Estany del Parc de la Font Florida","428152.465686237","4579776.166361620","41.366291517","2.140935447"
"03-113","03-113. Cascades - Jardins Mossèn Cinto Verdaguer","Cascades - Jardins Mossèn Cinto Verdaguer (29 vasos)","430102.209271293","4579853.941663800","41.367163673","2.164236709"
"03-114","Font Escales de Can Mantega","Jardins de Can Mantega (Joan Güell amb Hongria)","427486.835893745","4581256.503707510","41.379564669","2.132800470"
"03-115","03-115 Font del Carrer Foc - Linial","Foc","427975.676299414","4578574.325840120","41.355451157","2.138964543"
"03-116","03-116 Font del Carrer Foc - Cargol","Foc","428135.587244739","4578666.604768700","41.356296569","2.140865108"
"03-117","Font Ornamental Cobriment de Sants","Placeta Ramon Torres Casanova","427689.182581364","4580778.931432820","41.375281568","2.135277087"
"04-001","04-001. Canal del Jardí de Les Corts - Euclidiana","Canal del Jardí de Les Corts - Euclidiana","427821.822027760","4581996.222296110","41.386257148","2.136718086"
"04-002","04-002. Font dels Jardins de Ferran Soldevila","Font dels Jardins de Ferran Soldevila","427434.473643209","4582287.825690150","41.388848654","2.132050812"
"04-003","04-003. Font de Citerea - Jard de Clara Campoamor","Font de Citerea - Jardins de Clara Campoamor","427206.812780784","4582220.667319350","41.388223216","2.129336154"
"04-005","04-005. Av. de Xile - Manuel Azaña","Av. de Xile - Manuel Azaña","425685.511219616","4581007.847025160","41.377160777","2.111291011"
"04-006","04-006. PALAU DE PEDRALBES (EXTERIOR DRETA)","Exterior Besòs - Palau de Pedralbes","426266.659744644","4582012.634153270","41.386263923","2.118117773"
"04-007","04-007. PALAU DE PEDRALBES (EXTERIOR ESQUERRA)","Exterior Llobregat - Palau de Pedralbes","426327.769990526","4582032.543718900","41.386448839","2.118846174"
"04-008","04-008. PALAU DE PEDRALBES (CASCADA)","Estany del Palau de Pedralbes - Mediterrània","426278.360189909","4582068.904150770","41.386771795","2.118250853"
"04-009","04-009. PALAU DE PEDRALBES  (OCTOGONAL DRETA)","Octogonal Besòs - Palau de Pedralbes","426287.560692496","4582133.234179660","41.387352030","2.118353055"
"04-010","04-010. PALAU DE PEDRALBES (OCTOGONAL ESQUERRA)","Octogonal Llobregat - Palau de Pedralbes","426216.310290960","4582094.894662880","41.387000191","2.117505623"
"04-011","04-011. Octogonal Merlets - Palau de Pedralbes","Octogonal Merlets - Palau de Pedralbes","426248.921131829","4582199.004574760","41.387940854","2.117882948"
"04-012","04-012. PALAU DE PEDRALBES (ESTANY DAVANT PALAU)","Estany dels Geranis - Palau de Pedralbes","426199.061203724","4582218.664984390","41.388113353","2.117284259"
"04-013","04-013. ECONOMIQUES","Diagonal - Zona Universitària","425768.477657681","4581839.477677440","41.384658564","2.112181203"
"04-014","04-014. PG. DELS TIL.LERS","Font dels Jardins de William Shakespeare","426289.583045681","4582442.794639760","41.390140291","2.118339573"
"04-015","04-015. PALAU DE PEDRALBES (CIRCULAR PAVELLO)","Font del Pavelló - Palau de Pedralbes","426388.370517924","4582089.643345570","41.386968658","2.119563964"
"04-016","04-016. PALAU DE PEDRALBES (ESTANY BARANA)","Estany de la barana - Palau de Pedralbes","426174.240164907","4582086.884970690","41.386924191","2.117003474"
"04-017","04-017. Font dels Jardins dels Doctors Dolsa","Font dels Jardins dels Doctors Dolsa","427180.066596175","4581411.506279430","41.380933011","2.129113535"
"04-018","04-018. Coberta de Carles III","Coberta de Carles III","427034.259767439","4581858.978076840","41.384949997","2.127316076"
"04-019","04-019. Busseig - Commemoració dels Jocs Olímpics","Busseig - Commemoració dels Jocs Olímpics de 1992","425583.700922630","4580989.497771240","41.376986104","2.110075880"
"04-020","04-020. FONT DELS TARONGERS","Font dels Tarongers - Palau de Pedralbes","426139.271414223","4582258.615500760","41.388467682","2.116564338"
"04-021","04-021. PALAU DE PEDRALBES - LLAC COSTAT LLOBREGAT","Llac del Palau de Pedralbes (Font Naturalitzada)","426175.250570902","4582140.165044920","41.387404154","2.117009064"
"05-001","05-001. Ofèlia ofegada - Canal de Vil·la Cecília","Ofèlia ofegada - Canal dels Jardins de la Vil·la Cecília","426585.655989110","4582769.932888170","41.393113761","2.121840890"
"05-002","05-002. Font dels Jardins del Dr Roig i Raventós","Font dels Jardins del Doctor Roig i Raventós","427311.415818882","4583915.519113210","41.403497491","2.130383703"
"05-003","05-003. Escultura infinita","Escultura infinita","427536.244371770","4583679.217041790","41.401389515","2.133101450"
"05-004","05-004. Circular de les magnòlies - Turó Parc","Circular de les magnòlies - Turó Parc","428182.890033240","4582976.521048720","41.395118634","2.140919914"
"05-005","05-005. Biga de la Font de l'Aurora - Turó Parc","Biga de la Font de l'Aurora - Turó Parc","428137.930301612","4583020.991458720","41.395515145","2.140376884"
"05-006","05-006. Monument a Pau Casals","Monument a Pau Casals","428259.009301717","4582864.760298900","41.394118843","2.141843599"
"05-007","05-007. J. V. FOIX","Avinguda Foix - Pedró de la Creu","426411.399651934","4583287.825007180","41.397762258","2.119693791"
"05-008","05-008. Bassa del Jardí Terapèutic Vil·la Florida","Bassa del Jardí Terapèutic de Vil·la Florida","427729.298086041","4584128.456255650","41.405452999","2.135357102"
"05-009","05-009. Estany circular Jardins de Can Sentmenat","Estany circular dels Jardins de Can Sentmenat","426011.303234102","4583841.288898840","41.402710335","2.114840530"
"05-010","05-010. Estany menorquí de la Plaça Francesc Macià","Estany menorquí de la Plaça Francesc Macià","428486.458468915","4582708.888330240","41.392735222","2.144582431"
"05-011","05-011. Bassa Petita - Turó Parc","Bassa Petita - Turó Parc","428208.039858612","4582948.420814450","41.394867792","2.141224057"
"05-012","05-012. Estany dels Nenúfars - Turó Parc","Estany dels Nenúfars - Turó Parc","428130.249249208","4582884.061308150","41.394281183","2.140301264"
"05-013","05-013. Estany dels Lleons - La Tamarita","Estany dels Lleons - Jardins de La Tamarita","427801.632315928","4584669.996526900","41.410336921","2.136157804"
"05-014","05-014. Lateral Entrada Llobregat - La Tamarita","Lateral Entrada Llobregat - Jardins de La Tamarita","427799.822213040","4584656.836520730","41.410218231","2.136137719"
"05-015","05-015. Lateral Entrada Bessòs - La Tamarita","Lateral Entrada Bessòs - Jardins de La Tamarita","427812.492277732","4584662.756433230","41.410272688","2.136288591"
"05-016","05-016. Copa del Jard de les Gardènies - Tamarita","Doble Copa del Jardí de les Gardènies - Jardins de La Tamarita","427772.132163506","4584655.976730280","41.410208000","2.135806551"
"05-017","05-017. Font de terracota - Jardins de La Tamarita","Font de terracota - Jardins de La Tamarita","427699.952547538","4584721.217378830","41.410789105","2.134935234"
"05-018","05-018. Font de les Granotes - Jard de la Tamarita","Font de les Granotes - Jardins de la Tamarita","427750.602022852","4584641.876872850","41.410079074","2.135550658"
"05-019","05-019. Cascada clàssica - Jardins de La Tamarita","Cascada clàssica - Jardins de La Tamarita","427693.142603730","4584729.997444000","41.410867570","2.134852713"
"05-020","05-020. Estany de la Dríade - Vil·la Amèlia","Estany de la Dríade - Jardins de la Vil·la Amèlia","426652.055761700","4582726.422316160","41.392727938","2.122640323"
"05-021","05-021. Estany dels Jardins de Piscines i Esports","Estany dels Jardins de Piscines i Esports","427789.187312683","4582698.643620110","41.392580649","2.136244067"
"05-022","05-022. JARDINS PASSATGE MALUQUER","Font dels Jardins del Passatge de Maluquer","427811.741512165","4584562.236286520","41.409367278","2.136291601"
"05-023","05-023. Font de la Lliçó","Font de la Lliçó","428036.124974723","4583656.593202230","41.401230648","2.139083662"
"05-024","05-024. Font dels Cignes - Jardins de La Tamarita","Font dels Cignes - Jardins de La Tamarita","427722.462368124","4584693.027164680","41.410537232","2.135207900"
"05-025","Cascada Jardins Muñoz i Ramonet","Carrer Muntaner 282-290 - Jardins Muñoz i Ramonet","428696.081866488","4583113.307352130","41.396396282","2.147041980"
"05-026","Làmina Jardins Muñoz i Ramonet","Carrer Muntaner 282-290 - Jardins Muñoz i Ramonet","428734.711937908","4583114.847060520","41.396413574","2.147503854"
"06-001","06-001. Sortidor de l'Aurora - Jardins de Salvador","Sortidor de l'Aurora - Jardins de Salvador Espriu","429616.634323573","4583249.470554680","41.397703753","2.158036918"
"06-002","06-002. Font a les Colles de Sant Medir","Font a les Colles de Sant Medir","429121.500908170","4584215.895789840","41.406364487","2.152001336"
"06-006","06-006. Estany Superior de la Creueta del Coll","Estany Superior de la Creueta del Coll","428615.250169616","4585538.011671040","41.418227445","2.145789148"
"06-007","06-007. FONT DE SANT SALVADOR","Font de Sant Salvador","428969.068643281","4585263.778537520","41.415788894","2.150054798"
"06-008","06-008. Piscines de la Creueta del Coll","Piscines de la Creueta del Coll","428687.260588884","4585578.661187870","41.418599953","2.146645962"
"06-009","06-009. Font d'Hèrcules","Font d'Hèrcules","430318.538855817","4583702.935904830","41.401849091","2.166380423"
"06-010","06-010. Font de la Plaça de Narcís Oller","Font de la Plaça de Narcís Oller","429406.143584732","4583195.032073510","41.397194994","2.155525526"
"06-011","06-011. Xip-Xap - Jocs Olímpics de 1992","Xip-Xap - Commemoració dels Jocs Olímpics de 1992","427877.476957860","4585264.906851540","41.415701830","2.136994257"
"06-012","06-012. Cascada de la Plaça de Lesseps","Cascada de la Plaça de Lesseps","428916.311284951","4584307.187490160","41.407168597","2.149535960"
"06-013","06-013. Guèiser Circular de la Plaça de Lesseps","Guèiser Circular de la Plaça de Lesseps","428995.691130363","4584270.706830600","41.406847046","2.150489861"
"06-014","06-014. PASSEIG SANT JOAN - MARIA CLARET MUNTANYA","Pg Sant Joan - St Antoni Maria Claret Muntanya","430121.800049355","4583899.777697440","41.403604900","2.164004296"
"06-015","06-015. PASSEIG SANT JOAN - MARIA CLARET MAR","Pg Sant Joan - St Antoni Maria Claret Mar","430144.399911540","4583877.077491070","41.403402411","2.164277265"
